device_id,pred_pm25
28C2DDDD415C,38.88
28C2DDDD47BC,36.51
74DA3895C1F8,35.95
74DA3895C1FA,34.59
74DA3895C200,35.21
74DA3895C20A,35.9
74DA3895C20C,34.38
74DA3895C210,34.76
74DA3895C212,36.76
74DA3895C214,36.41
74DA3895C216,35.08
74DA3895C218,39.44
74DA3895C21E,31.56
74DA3895C222,33.82
74DA3895C224,44.18
74DA3895C226,37.21
74DA3895C228,37.13
74DA3895C22A,31.63
74DA3895C230,35.71
74DA3895C232,36.49
74DA3895C234,39.63
74DA3895C23E,42.55
74DA3895C240,33.48
74DA3895C246,42.56
74DA3895C248,39.61
74DA3895C24A,42.6
74DA3895C24C,31.6
74DA3895C24E,32.17
74DA3895C250,35.46
74DA3895C252,34.26
74DA3895C25C,40.55
74DA3895C25E,35.75
74DA3895C26E,34.59
74DA3895C270,36.22
74DA3895C276,33.2
74DA3895C278,34.34
74DA3895C282,32.16
74DA3895C28A,34.89
74DA3895C28C,33.46
74DA3895C292,34.46
74DA3895C294,34.78
74DA3895C2A2,35.47
74DA3895C2A6,35.19
74DA3895C2A8,38.29
74DA3895C2AE,34.49
74DA3895C2B4,36.3
74DA3895C2B6,34.58
74DA3895C2B8,40.32
74DA3895C2BC,33.21
74DA3895C2BE,36.03
74DA3895C2C0,43.29
74DA3895C2C4,41.13
74DA3895C2C6,34.42
74DA3895C2C8,36.42
74DA3895C2CA,37.91
74DA3895C2CC,36.57
74DA3895C2CE,36.07
74DA3895C2DE,38.01
74DA3895C2E2,35.37
74DA3895C2E4,34.47
74DA3895C2F8,37.83
74DA3895C304,30.05
74DA3895C306,40.31
74DA3895C308,39.89
74DA3895C30A,32.35
74DA3895C30C,36.38
74DA3895C30E,41.5
74DA3895C314,34.51
74DA3895C318,40.75
74DA3895C31E,34.3
74DA3895C322,42.74
74DA3895C324,35.64
74DA3895C326,36.55
74DA3895C32E,32.19
74DA3895C348,38.19
74DA3895C34A,32.97
74DA3895C34E,34.01
74DA3895C352,34.67
74DA3895C362,34.42
74DA3895C374,36.86
74DA3895C37C,36.74
74DA3895C37E,37.26
74DA3895C380,36.03
74DA3895C382,31.69
74DA3895C384,33.25
74DA3895C386,39.75
74DA3895C388,30.59
74DA3895C38A,38.11
74DA3895C38C,32.13
74DA3895C38E,29.84
74DA3895C390,45.61
74DA3895C392,32.91
74DA3895C394,34.85
74DA3895C396,34.12
74DA3895C39A,36.19
74DA3895C3AC,29.76
74DA3895C3AE,36.99
74DA3895C3B8,36.36
74DA3895C3CC,36.65
74DA3895C3CE,32.43
74DA3895C3D0,33.89
74DA3895C3D4,36.22
74DA3895C3D6,33.92
74DA3895C3DA,33.5
74DA3895C3DC,34.42
74DA3895C3DE,34.68
74DA3895C3E0,36.45
74DA3895C3E2,44.71
74DA3895C3E8,35.39
74DA3895C3EA,39.31
74DA3895C3EC,36.57
74DA3895C3F4,32.45
74DA3895C3F6,35.97
74DA3895C3F8,38.13
74DA3895C3FA,30.32
74DA3895C3FE,38.01
74DA3895C400,33.34
74DA3895C402,17.11
74DA3895C404,35.66
74DA3895C40A,36.35
74DA3895C40E,39.84
74DA3895C410,38.24
74DA3895C418,33.68
74DA3895C41A,39.45
74DA3895C424,31.45
74DA3895C454,33.78
74DA3895C456,32.31
74DA3895C45C,40.04
74DA3895C45E,33.84
74DA3895C462,34.2
74DA3895C466,40.92
74DA3895C46A,29.37
74DA3895C470,37.1
74DA3895C474,32.45
74DA3895C478,36.89
74DA3895C47A,36.7
74DA3895C48C,38.08
